Title,Platform,Imbibed,Completed,Favorite
007 The World is Not Enough,Nintendo 64,,,
7th Saga,Nintendo Super NES,TRUE,,
Advance Wars,Game Boy Advance,TRUE,TRUE,
Advance Wars 2: Black Hole Rising,Game Boy Advance,TRUE,TRUE,
Advance Wars: Days of Ruin,Nintendo DS,TRUE,,
Advance Wars: Dual Strike,Nintendo DS,TRUE,TRUE,
Aidyn Chronicles: The First Mage,Nintendo 64,TRUE,,
All-Star Baseball 2001,Nintendo 64,,,
Animal Crossing,GameCube,TRUE,,
Animal Crossing,Nintendo Wii,,,
Animal Crossing: Wild World,Nintendo DS,,,
Army Men Sarge's Heroes,Nintendo 64,TRUE,,
Army Men: RTS,PlayStation 2,TRUE,,
Assassin's Creed: Bloodlines,Sony PSP,,,
Azure Dreams,Game Boy Color,TRUE,,
B.O.B. - Nintendo Super NES,Nintendo Super NES,TRUE,,
Banjo-Kazooie,Nintendo 64,TRUE,TRUE,
Banjo-Tooie,Nintendo 64,TRUE,,
Baten Kaitos,GameCube,TRUE,,
Baten Kaitos Origins,GameCube,TRUE,,
Battalion Wars,Nintendo GameCube,TRUE,,
Battlefield 2,Windows NT,TRUE,,
Bomberman,Game Boy,TRUE,,
Bomberman 64,Nintendo 64,TRUE,,
Bravely Default,Nintendo 3DS,TRUE,TRUE,
Bravely Default II,Nintendo Switch,TRUE,,
Bravely Second: End Layer - Nintendo 3DS,Nintendo 3DS,TRUE,TRUE,
Breath of Fire,Super Nintendo,TRUE,TRUE,
Breath of Fire,Game Boy Advance,TRUE,TRUE,
Breath of Fire 2,Game Boy Advance,TRUE,,
Breath of Fire 4,PlayStation,TRUE,,
Breath of Fire II,Nintendo Super NES,TRUE,,
Breath of Fire III,PlayStation,TRUE,,
Breath of Fire: Dragon Quarter,PlayStation 2,,,
Brothers in Arms: Road to Hill 30,Xbox,,,
Bust-A-Move '99,Nintendo 64,TRUE,,
Captain Toad: Treasure Tracker,Nintendo Switch,TRUE,TRUE,
Castlevania 64,Nintendo 64,TRUE,TRUE,
Castlevania: Circle of the Moon,Game Boy Advance,TRUE,,
Castlevania: Curse of Darkness,Xbox,TRUE,,
Castlevania: Curse of Darkness,PlayStation 2,TRUE,,
Castlevania: Lament of Innocence,PlayStation 2,TRUE,,
Castlevania: Legacy of Darkness,Nintendo 64,TRUE,,
Castlevania: Lords of Shadow,PlayStation 3,TRUE,,
Catherine,PlayStation 3,,,
Chrono Cross,PlayStation,TRUE,TRUE,
Chrono Trigger,Nintendo Super NES,TRUE,,
Chrono Trigger,Nintendo DS,TRUE,,
Chu Chu Rocket,Game Boy Advance,TRUE,,
Clay Fighter 63 1/3,Nintendo 64,TRUE,,
Collection of Mana,Nintendo Switch,,,
Command & Conquer,Nintendo 64,,,
Conflict: Desert Storm,PlayStation 2,,,
Crisis Core: Final Fantasy VII,Sony PSP,,,
Crystalis,Game Boy Color,TRUE,,
Dante's Inferno Divine Edition,PlayStation 3,TRUE,,
Dark Cloud,PlayStation 2,TRUE,,
Dark Cloud 2,PlayStation 2,TRUE,,
Dark Souls,PlayStation 3,TRUE,TRUE,
Demon's Souls,PlayStation 3,,,
Diddy Kong Racing,Nintendo 64,TRUE,TRUE,
Disney Epic Mickey,Nintendo Wii,TRUE,,
Disney's Goof Troop,Nintendo Super NES,TRUE,TRUE,
Dissidia 012 [duodecim] Final Fantasy,PlayStation Portable,TRUE,,
Donkey Kong 64,Nintendo 64,TRUE,TRUE,
Donkey Kong Country,Nintendo Super NES,TRUE,,
Donkey Kong Country 2,Game Boy Advance,TRUE,,
Donkey Kong Country 2: Diddy's Kong Quest,Super Nintendo,TRUE,,
Donkey Kong Country 3: Dixie Kong's Double Trouble,Nintendo Super NES,TRUE,TRUE,
Donkey Kong Country Returns,Nintendo Wii,TRUE,,
Donkey Kong Country: Tropical Freeze,Nintendo Switch,TRUE,,
Donkey Konga,GameCube,TRUE,,
Dragon Warrior I & II,Game Boy Color,TRUE,,
Dragon Warrior VII,PlayStation,,,
Dragon's Crown,PlayStation 3,,,
Drakkhen,Nintendo Super NES,TRUE,,
Enter The Matrix,PlayStation 2,TRUE,,
Eternal Sonata,PlayStation 3,,,
Fable: The Lost Chapters,Xbox,,,
Fallout 2 by Sold Out Software,Windows XP,,,
Fallout 3 - PC,Windows Vista,TRUE,,
Final Fantasy,Nintendo NES,TRUE,,
Final Fantasy,Sony PSP,TRUE,,
Final Fantasy Adventure,Game Boy,TRUE,,
Final Fantasy Anthology (Final Fantasy V & VI),PlayStation,TRUE,,
